name,tier,org,virology_betweenness,policy_betweenness,coauthor_betweenness
DURABLE,0,,0.0,0.0,0.0
Debby Schipper,0,,0.0,0.0,0.0
Pascal Lexmond,0,,0.0,0.0,0.0
COMPARE,0,Erasmus MC,0.0,0.0,0.0
Erwin Duizer,0,,0.0,0.0,0.0
Berry Wilbrink,0,,0.0,0.0,0.0
S. A. G. Kemink,0,,0.0,0.0,0.0
A Bosman,0,,0.0,0.0,0.0
Marina Conyn,0,,0.0,0.0,0.0
Mark Pronk,0,,0.0,0.0,0.0
Debby van Riel,0,,0.0,0.0,0.0
Ton de Jong,0,,0.0,0.0,0.0
Hans van der Nat,0,,0.0,0.0,0.0
Gerard Natrop,0,,0.0,0.0,0.0
Wouter van den Bijllaardt,0,,0.0,0.0,0.0
Rik L. de Swart,0,,0.0,0.0,0.0
Ariene Rietveld,0,,0.0,0.0,0.0
Martje Fentener van Vlissingen,0,,0.0,0.0,0.0
Ronald J. Overmars,0,,0.0,0.0,0.0
Heiman Wertheim,0,,0.0,0.0,0.0
Vincent J. Munster,0,,0.0,0.0,0.0
Jean-Claude Manuguerra,0,,0.0,0.0,0.0
Peter van Run,0,,0.0,0.0,0.0
B Martina,0,,0.0,0.0,0.0
Jan A. M. Langermans,0,,0.0,0.0,0.0
Ronald Dijkman,0,,0.0,0.0,0.0
Nicolas Escriou,0,,0.0,0.0,0.0
Ai Ee Ling,0,,0.0,0.0,0.0
VEO,0,,0.0,0.0,0.0
Suzan D. Pas,0,,0.0,0.0,0.0
Gerard van Doornum,0,,0.0,0.0,0.0
Ann C.T.M. Vossen,0,,0.0,0.0,0.0
Miranda de Graaf,0,,0.0,0.0,0.0
Claudia Schapendonk,0,,0.0,0.0,0.0
Judith M. A. van den Brand,0,,0.0,0.0,0.0
Sander Herfst,0,,0.0,0.0,0.0
Jaco J. Verweij,0,,0.0,0.0,0.0
Willy Bogers,0,,0.0,0.0,0.0
Anne van der Linden,0,,0.0,0.0,0.0
Alexander E. Gorbalenya,0,,0.0,0.0,0.0
ECRAID,0,,0.0,0.0,0.0
Marjolein Kluytmans-van den Bergh,0,,0.0,0.0,0.0
Carla van Tienen,0,,0.0,0.0,0.0
Anneke Bergmans,0,,0.0,0.0,0.0
Silvia Peñaranda,0,,0.0,0.0,0.0
B. M. W. Diederen,0,,0.0,0.0,0.0
Huihui Mou,0,,0.0,0.0,0.0
Natural Origin Hypothesis,0,,0.0,0.0076,0.0
